state_number,state_name,consecutive_number,number_of_vehicle_forms_submitted_all,number_of_motor_vehicles_in_transport_mvit,number_of_parked_working_vehicles,number_of_forms_submitted_for_persons_not_in_motor_vehicles,number_of_persons_not_in_motor_vehicles_in_transport_mvit,number_of_persons_in_motor_vehicles_in_transport_mvit,number_of_forms_submitted_for_persons_in_motor_vehicles,county,city,day_of_crash,month_of_crash,year_of_crash,day_of_week,hour_of_crash,minute_of_crash,national_highway_system,land_use,land_use_name,functional_system,functional_system_name,ownership,ownership_name,route_signing,route_signing_name,trafficway_identifier,trafficway_identifier_2,milepoint,latitude,longitude,special_jurisdiction,special_jurisdiction_name,first_harmful_event,first_harmful_event_name,manner_of_collision,manner_of_collision_name,relation_to_junction_within_interchange_area,relation_to_junction_specific_location,relation_to_junction_specific_location_name,type_of_intersection,work_zone,relation_to_trafficway,relation_to_trafficway_name,light_condition,light_condition_name,atmospheric_conditions_1,atmospheric_conditions_1_name,atmospheric_conditions_2,atmospheric_conditions_2_name,atmospheric_conditions,atmospheric_conditions_name,school_bus_related,rail_grade_crossing_identifier,hour_of_notification,minute_of_notification,hour_of_arrival_at_scene,minute_of_arrival_at_scene,hour_of_ems_arrival_at_hospital,minute_of_ems_arrival_at_hospital,related_factors_crash_level_1,related_factors_crash_level_1_name,related_factors_crash_level_2,related_factors_crash_level_2_name,related_factors_crash_level_3,related_factors_crash_level_3_name,number_of_fatalities,number_of_drunk_drivers,timestamp_of_crash,waktu_kategori,tipe_hari,nama_hari
37,North Carolina,370977,1,1,0,0,0,1,1,109,0,3,10,2015,7,13,58,0,1,Rural,7,Local,99,Unknown,5,Local Street – Township,ST. JAMES CHURCH RD.,,99999,35.48732222,-81.01907222,0,No Special Jurisdiction (Includes National Forests Since 2008),1,Rollover/Overturn,0,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",No,1,Non-Junction,Not an Intersection,None,4,On Roadside,1,Daylight,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,No,0000000,13,51,14,0,88,88,0,None,0,None,0,None,1,1,2015-10-03 13:58:00+00:00,Siang (12-17),Akhir Pekan,Sabtu
23,Maine,230045,1,1,0,0,0,1,1,31,5500,15,6,2015,2,7,34,0,1,Rural,7,Local,3,Town or Township Highway Agency,6,Local Street – Municipality,FORD QUINT ROAD,,99998,43.38934167,-70.77845,0,No Special Jurisdiction (Includes National Forests Since 2008),42,Tree (Standing Only),0,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",No,1,Non-Junction,Not an Intersection,None,6,Off Roadway – Location Unknown,1,Daylight,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,No,0000000,7,37,7,45,88,88,0,None,0,None,0,None,1,1,2015-06-15 07:34:00+00:00,Pagi (06-11),Hari Kerja,Senin
1,Alabama,10568,1,1,0,0,0,1,1,117,2405,10,10,2015,7,3,54,0,1,Rural,7,Local,4,City or Municipal Highway Agency,6,Local Street – Municipality,STATE PARK RD,,0,33.32760278,-86.78229444,0,No Special Jurisdiction (Includes National Forests Since 2008),42,Tree (Standing Only),0,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",No,1,Non-Junction,Not an Intersection,None,4,On Roadside,2,Dark – Not Lighted,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,No,0000000,4,1,4,6,88,88,0,None,0,None,0,None,1,0,2015-10-10 03:54:00+00:00,Dini hari (00-05),Akhir Pekan,Sabtu
12,Florida,120559,1,1,0,0,0,1,1,57,0,13,4,2015,2,19,2,0,1,Rural,7,Local,25,Other Local Agency,6,Local Street – Municipality,CHANNING PARK RD,,99998,27.83089444,-82.20324444,0,No Special Jurisdiction (Includes National Forests Since 2008),33,Curb,0,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",No,1,Non-Junction,Not an Intersection,None,4,On Roadside,1,Daylight,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,No,0000000,99,99,99,99,99,99,0,None,0,None,0,None,1,1,2015-04-13 19:02:00+00:00,Malam (18-23),Hari Kerja,Senin
12,Florida,120318,1,1,0,0,0,2,2,57,0,11,3,2015,4,22,54,0,1,Rural,7,Local,3,Town or Township Highway Agency,6,Local Street – Municipality,JOE SANCHEZ RD,,99998,28.02880556,-82.16705556,0,No Special Jurisdiction (Includes National Forests Since 2008),42,Tree (Standing Only),0,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",No,1,Non-Junction,Not an Intersection,None,4,On Roadside,2,Dark – Not Lighted,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,No,0000000,99,99,99,99,99,99,0,None,0,None,0,None,1,1,2015-03-11 22:54:00+00:00,Malam (18-23),Hari Kerja,Rabu
12,Florida,120762,1,1,0,0,0,4,4,95,2360,23,1,2015,6,22,32,0,1,Rural,7,Local,25,Other Local Agency,6,Local Street – Municipality,CLARION DR,,99998,28.60744167,-81.446175,0,No Special Jurisdiction (Includes National Forests Since 2008),42,Tree (Standing Only),0,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",No,1,Non-Junction,Not an Intersection,None,4,On Roadside,2,Dark – Not Lighted,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,No,0000000,99,99,99,99,99,99,0,None,0,None,0,None,1,0,2015-01-23 22:32:00+00:00,Malam (18-23),Hari Kerja,Jumat
13,Georgia,130507,1,1,0,0,0,1,1,87,370,27,5,2015,4,17,31,0,1,Rural,7,Local,4,City or Municipal Highway Agency,6,Local Street – Municipality,TEN MILE STILL ROAD,,16,30.88018611,-84.63825556,0,No Special Jurisdiction (Includes National Forests Since 2008),1,Rollover/Overturn,0,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",No,1,Non-Junction,Not an Intersection,None,4,On Roadside,1,Daylight,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,No,0000000,99,98,99,98,88,88,0,None,0,None,0,None,1,0,2015-05-27 17:31:00+00:00,Siang (12-17),Hari Kerja,Rabu
29,Missouri,290262,1,1,0,0,0,1,1,95,3240,4,5,2015,2,22,20,0,1,Rural,7,Local,2,County Highway Agency,6,Local Street – Municipality,PINK HILL RD,,25,39.05024722,-94.19504722,0,No Special Jurisdiction (Includes National Forests Since 2008),42,Tree (Standing Only),0,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",No,1,Non-Junction,Not an Intersection,None,4,On Roadside,2,Dark – Not Lighted,2,Rain,10,Cloudy,2,Rain,No,0000000,99,98,99,98,88,88,0,None,0,None,0,None,1,1,2015-05-04 22:20:00+00:00,Malam (18-23),Hari Kerja,Senin
53,Washington,530461,4,1,3,0,0,2,2,67,2320,18,11,2015,4,21,3,0,1,Rural,7,Local,4,City or Municipal Highway Agency,6,Local Street – Municipality,BLACK LAKE BLVED SW,,0,47.02815556,-122.94883611,0,No Special Jurisdiction (Includes National Forests Since 2008),14,Parked Motor Vehicle (Not In Transport),0,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",No,1,Non-Junction,Not an Intersection,None,5,Outside Trafficway,2,Dark – Not Lighted,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,No,0000000,99,99,99,99,99,99,0,None,0,None,0,None,1,0,2015-11-18 21:03:00+00:00,Malam (18-23),Hari Kerja,Rabu
9,Connecticut,90110,1,1,0,0,0,1,1,11,339,3,6,2015,4,4,23,0,1,Rural,7,Local,4,City or Municipal Highway Agency,6,Local Street – Municipality,LAMBTOWN ROAD,,19,41.41283611,-71.98920556,0,No Special Jurisdiction (Includes National Forests Since 2008),59,Traffic Sign Support,0,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",No,1,Non-Junction,Not an Intersection,None,4,On Roadside,2,Dark – Not Lighted,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,No,0000000,4,23,4,24,88,88,0,None,0,None,0,None,1,1,2015-06-03 04:23:00+00:00,Dini hari (00-05),Hari Kerja,Rabu
